ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8238318,HT471429,08/29/2011 12:30:00 PM,043XX S SAWYER AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,821,8,14.0,58.0,11,1155410.0,1875671.0,2011,02/10/2018 03:50:01 PM,41.814641465,-87.705455409,"(41.814641465, -87.705455409)"
8357120,HT590607,11/15/2011 03:02:00 PM,079XX S LAFAYETTE AVE,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,623,6,17.0,44.0,26,1177312.0,1852570.0,2011,02/10/2018 03:50:01 PM,41.750782715,-87.625813624,"(41.750782715, -87.625813624)"
8446615,HV124208,01/19/2012 03:08:00 PM,001XX W 79TH ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,623,6,17.0,69.0,06,1176476.0,1852597.0,2012,02/10/2018 03:50:01 PM,41.75087563,-87.628876303,"(41.75087563, -87.628876303)"
8521665,HV198614,03/13/2012 02:17:00 PM,053XX W VAN BUREN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1522,15,29.0,25.0,06,1140805.0,1897493.0,2012,02/04/2016 06:33:39 AM,41.874804528,-87.758493429,"(41.874804528, -87.758493429)"
8552725,HV228346,04/04/2012 06:20:00 PM,016XX N MEADE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,False,False,2513,25,29.0,25.0,26,1135497.0,1910304.0,2012,02/04/2016 06:33:39 AM,41.910055483,-87.777677876,"(41.910055483, -87.777677876)"
8464590,HV141282,02/01/2012 04:08:00 PM,0000X E 71ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,322,3,6.0,69.0,06,1178200.0,1857964.0,2012,02/10/2018 03:50:01 PM,41.765564374,-87.622396237,"(41.765564374, -87.622396237)"
8557907,HV233903,04/06/2012 09:40:00 PM,080XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,621,6,21.0,71.0,08B,1171703.0,1851575.0,2012,02/04/2016 06:33:39 AM,41.748177036,-87.646396748,"(41.748177036, -87.646396748)"
8487535,HV164646,02/19/2012 03:15:00 PM,036XX N KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1733,17,33.0,16.0,18,1154409.0,1923963.0,2012,02/10/2018 03:50:01 PM,41.947179647,-87.707836165,"(41.947179647, -87.707836165)"
8354266,HT588315,11/13/2011 10:00:00 PM,011XX N KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1111,11,37.0,23.0,14,1148510.0,1907180.0,2011,02/04/2016 06:33:39 AM,41.901241632,-87.729953536,"(41.901241632, -87.729953536)"
8375562,HT609541,11/28/2011 11:05:00 PM,003XX W 64TH ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,HOSPITAL BUILDING/GROUNDS,False,False,722,7,20.0,68.0,08B,1175044.0,1862506.0,2011,02/10/2018 03:50:01 PM,41.778099133,-87.633828531,"(41.778099133, -87.633828531)"
8493182,HV169973,02/23/2012 03:00:00 PM,047XX N DOVER ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2311,19,47.0,3.0,07,1165745.0,1931542.0,2012,02/10/2018 03:50:01 PM,41.967742175,-87.665951202,"(41.967742175, -87.665951202)"
8396348,HT628946,12/01/2011 11:00:00 PM,023XX S TRUMBULL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1024,10,22.0,30.0,06,1153736.0,1888192.0,2011,02/10/2018 03:50:01 PM,41.849034079,-87.711263314,"(41.849034079, -87.711263314)"
8351005,HT584170,11/11/2011 04:45:00 AM,039XX N ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1733,17,33.0,16.0,08B,1155020.0,1925976.0,2011,09/07/2021 03:41:02 PM,41.952691197,-87.705536086,"(41.952691197, -87.705536086)"
8394051,HT626795,12/09/2011 05:00:00 PM,048XX N ELSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1712,17,39.0,14.0,14,1145271.0,1931765.0,2011,02/10/2018 03:50:01 PM,41.968767051,-87.741227124,"(41.968767051, -87.741227124)"
8549737,HV225722,04/02/2012 10:40:00 PM,008XX E 52ND ST,031A,ROBBERY,ARMED: HANDGUN,STREET,True,False,233,2,4.0,41.0,03,1182634.0,1870712.0,2012,02/04/2016 06:33:39 AM,41.800444327,-87.605748976,"(41.800444327, -87.605748976)"
8365214,HT598645,11/21/2011 09:10:00 AM,038XX W 84TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,834,8,18.0,70.0,14,1152345.0,1848601.0,2011,02/10/2018 03:50:01 PM,41.740418069,-87.71740952,"(41.740418069, -87.71740952)"
8439214,HV116649,01/09/2012 09:00:00 AM,042XX W CRYSTAL ST,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,2534,25,37.0,23.0,10,1147896.0,1907992.0,2012,02/10/2018 03:50:01 PM,41.903481672,-87.732187935,"(41.903481672, -87.732187935)"
8357215,HT584688,10/04/2011 12:01:00 AM,049XX N MILWAUKEE AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,1623,16,45.0,11.0,10,1139338.0,1932332.0,2011,02/10/2018 03:50:01 PM,41.970433391,-87.763029002,"(41.970433391, -87.763029002)"
8359101,HT592249,11/16/2011 12:45:00 PM,063XX S CALUMET AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,312,3,20.0,69.0,08B,1179551.0,1862782.0,2011,02/10/2018 03:50:01 PM,41.778754713,-87.617297398,"(41.778754713, -87.617297398)"
8558361,HV234260,04/09/2012 09:45:00 AM,011XX N MONITOR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1511,15,29.0,25.0,08B,1137147.0,1907077.0,2012,02/04/2016 06:33:39 AM,41.901170711,-87.771693958,"(41.901170711, -87.771693958)"
8455826,HV132866,01/26/2012 12:44:00 PM,002XX N WELLS ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,113,1,42.0,32.0,05,1174694.0,1901831.0,2012,02/10/2018 03:50:01 PM,41.886018055,-87.633937881,"(41.886018055, -87.633937881)"
8544499,HV220091,03/29/2012 06:56:00 PM,037XX N LARAMIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1634,16,38.0,15.0,08B,1141037.0,1924189.0,2012,02/04/2016 06:33:39 AM,41.948057071,-87.756982971,"(41.948057071, -87.756982971)"
8480922,HV157519,02/14/2012 10:30:00 AM,018XX S LAFLIN ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,True,1222,12,25.0,31.0,04A,1166659.0,1891273.0,2012,02/10/2018 03:50:01 PM,41.857221948,-87.663746443,"(41.857221948, -87.663746443)"
8507043,HV184166,03/05/2012 01:30:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,18,42.0,8.0,06,1177338.0,1906181.0,2012,02/10/2018 03:50:01 PM,41.897895128,-87.624096605,"(41.897895128, -87.624096605)"
